nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
9576,1.82519084658501e-05,11.0962264897681,1,1,1,168,168,58,114,10.032856425,19.889697825,10.0328559875488,19.8896980285645,14.9612770080566,NaN,NaN,NaN,10.032856425,19.889697825,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.08286521499511e-08,1.08642312296727e-07,4.68264063027733,0,0,-999,-999,
9576,1.4449002645625e-05,21.7084530564211,1,2,1,168,168,115,171,20.06571285,29.92255425,20.0657119750977,29.9225540161133,24.9941329956055,NaN,NaN,NaN,20.06571285,29.92255425,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,8.57243086967832e-09,8.60059681287205e-08,3.7069814908387,0,0,-999,-999,
9576,2.59977475598051e-05,28.7392053918611,1,3,1,168,168,172,228,30.098569275,39.955410675,30.0985698699951,39.9554100036621,35.0269899368286,NaN,NaN,NaN,30.098569275,39.955410675,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.54241714248186e-08,1.54748497379793e-07,6.66988382321841,0,0,-999,-999,
9576,9.71399840626838e-06,48.8008165880135,1,4,1,168,168,229,285,40.1314257,49.9882671,40.1314239501953,49.9882659912109,45.0598449707031,NaN,NaN,NaN,40.1314257,49.9882671,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,5.76320607368114e-09,5.78214190849309e-08,2.49218670500948,0,0,-999,-999,
9576,4.32277734677429e-06,112.058702747054,1,5,1,168,168,286,342,50.164282125,60.021123525,50.1642837524414,60.0211219787598,55.0927028656006,NaN,NaN,NaN,50.164282125,60.021123525,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,2.5646552138638e-09,2.57308175403232e-08,1.10903541279101,0,0,-999,-999,
9408,1.91958851929161e-06,200.488949661508,1,6,1,168,168,343,398,60.19713855,69.877964925,60.1971397399902,69.8779678344727,65.0375537872314,NaN,NaN,NaN,60.19713855,69.877964925,9.8568414,9.8568414,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.15920726274855e-09,1.14261221386405e-08,0.492482373044277,0,0,-999,-999,
9576,1.90253145378116e-06,238.090471634926,1,7,1,168,168,399,455,70.05397995,79.91082135,70.0539779663086,79.9108200073242,74.9823989868164,NaN,NaN,NaN,70.05397995,79.91082135,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.12875052797266e-09,1.13245919867926e-08,0.488106276805247,0,0,-999,-999,
9576,1.79820394352343e-06,294.794150959183,1,8,1,168,168,456,512,80.086836375,89.943677775,80.0868377685547,89.9436798095703,85.0152587890625,NaN,NaN,NaN,80.086836375,89.943677775,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,0.999999999999999,1.06685418872873e-09,1.07035949019252e-08,0.461340405208719,0,0,-999,-999,
9576,1.76089699002078e-06,344.70543457791,1,9,1,168,168,513,569,90.1196928,99.9765342,90.1196899414063,99.9765319824219,95.0481109619141,NaN,NaN,NaN,90.1196928,99.9765342,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.04472039252816e-09,1.04815297025047e-08,0.451769074265973,0,0,-999,-999,
9576,2.16267367122629e-06,379.233074573978,1,10,1,168,168,570,626,100.152549225,110.009390625,100.152549743652,110.009391784668,105.08097076416,NaN,NaN,NaN,100.152549225,110.009390625,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,1.2830899817071e-09,1.28730575668232e-08,0.554847380582872,0,0,-999,-999,
9408,1.644665718145e-06,453.446583129,1,11,1,168,168,627,682,110.18540565,119.866232025,110.185401916504,119.866233825684,115.025817871094,NaN,NaN,NaN,110.18540565,119.866232025,9.8568414,9.8568414,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,9.9318600111799e-10,9.78967689372025e-09,0.421949218593746,0,0,-999,-999,
9576,6.27181481993167e-07,331.505157378901,1,12,1,168,168,683,739,120.04224705,129.89908845,120.04224395752,129.89909362793,124.970668792725,NaN,NaN,NaN,120.04224705,129.89908845,10.032856425,10.032856425,0,998.468245708672,15/03/2021 16:00:02.951,15/03/2021 16:07:33.426,10.0119933153503,-116.090874408967,10.0180707263101,-116.084166069917,1,3.72099724042666e-10,3.73322310710219e-09,0.160907309810025,0,0,-999,-999,
