nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
18867,0.000152130652671512,6.34739376603724,1,1,1,331,331,58,114,10.032856425,19.889697825,10.0328559875488,19.8896980285645,14.9612770080566,NaN,NaN,NaN,10.032856425,19.889697825,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,4.58104056415364e-08,4.59609222572545e-07,19.8098215526771,0,0,-999,-999,
18867,0.000287257094403059,8.99560088839346,1,2,1,331,331,115,171,20.06571285,29.92255425,20.0657119750977,29.9225540161133,24.9941329956055,NaN,NaN,NaN,20.06571285,29.92255425,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,8.65004112381451e-08,8.67846206655766e-07,37.4054254020216,0,0,-999,-999,
18867,0.000289802150886573,17.5508042714199,1,3,1,331,331,172,228,30.098569275,39.955410675,30.0985698699951,39.9554100036621,35.0269899368286,NaN,NaN,NaN,30.098569275,39.955410675,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,8.72667924232845e-08,8.75535199053091e-07,37.7368320836768,0,0,-999,-999,
18867,0.000441002454678371,11.2268500648285,1,4,1,331,331,229,285,40.1314257,49.9882671,40.1314239501953,49.9882659912109,45.0598449707031,NaN,NaN,NaN,40.1314257,49.9882671,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,1.32797046374025e-07,1.33233369993466e-06,57.4255074704417,0,0,-999,-999,
18867,0.000153933548747525,24.8662433770673,1,5,1,331,331,286,342,50.164282125,60.021123525,50.1642837524414,60.0211219787598,55.0927028656006,NaN,NaN,NaN,50.164282125,60.021123525,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,4.63533034673284e-08,4.65056038512161e-07,20.0445871894285,0,0,-999,-999,
18536,0.000222284906236889,26.0316425826884,1,6,1,331,331,343,398,60.19713855,69.877964925,60.1971397399902,69.8779678344727,65.0375537872314,NaN,NaN,NaN,60.19713855,69.877964925,9.8568414,9.8568414,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,6.81309134147611e-08,6.71555607966433e-07,28.945016990852,0,0,-999,-999,
18867,9.94748274404571e-05,68.7669261316882,1,7,1,331,331,399,455,70.05397995,79.91082135,70.0539779663086,79.9108200073242,74.9823989868164,NaN,NaN,NaN,70.05397995,79.91082135,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,2.99543985130257e-08,3.0052817957842e-07,12.9531987536645,0,0,-999,-999,
18867,7.58707882935011e-06,270.136740237151,1,8,1,331,331,456,512,80.086836375,89.943677775,80.0868377685547,89.9436798095703,85.0152587890625,NaN,NaN,NaN,80.086836375,89.943677775,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,0.999999999999999,2.28466224724169e-09,2.29216883061937e-08,0.987957884069897,0,0,-999,-999,
18867,5.91499976626398e-06,316.932226430675,1,9,1,331,331,513,569,90.1196928,99.9765342,90.1196899414063,99.9765319824219,95.0481109619141,NaN,NaN,NaN,90.1196928,99.9765342,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,1.78115674851691e-09,1.787008992829e-08,0.770226695252706,0,0,-999,-999,
18867,5.56285184227371e-06,357.977792442023,1,10,1,331,331,570,626,100.152549225,110.009390625,100.152549743652,110.009391784668,105.08097076416,NaN,NaN,NaN,100.152549225,110.009390625,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,1.67511605940837e-09,1.68061989192559e-08,0.724371455615657,0,0,-999,-999,
18536,5.25510416803491e-06,418.334350222161,1,11,1,331,331,627,682,110.18540565,119.866232025,110.185401916504,119.866233825684,115.025817871094,NaN,NaN,NaN,110.18540565,119.866232025,9.8568414,9.8568414,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,1.61070336766986e-09,1.58764476375677e-08,0.684297832037075,0,0,-999,-999,
18867,1.0450314000876e-06,310.589541395493,1,12,1,331,331,683,739,120.04224705,129.89908845,120.04224395752,129.89909362793,124.970668792725,NaN,NaN,NaN,120.04224705,129.89908845,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,1,3.1468551212704e-10,3.15719456219819e-09,0.136079647258072,0,0,-999,-999,
18867,2.35031166781431e-08,41.9706786719406,1,13,1,331,331,740,796,130.075103475,139.931944875,130.075103759766,139.931945800781,135.003524780273,NaN,NaN,NaN,130.075103475,139.931944875,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,0.999999999999999,7.0773857204894e-12,7.10063947980153e-11,0.00306047820836667,0,0,-999,-999,
18867,1.74570118828188e-08,31.8902463714277,1,14,1,331,331,797,853,140.1079599,149.9648013,140.107955932617,149.964797973633,145.036376953125,NaN,NaN,NaN,140.1079599,149.9648013,10.032856425,10.032856425,0,997.925582546394,21/03/2021 04:00:02.958,21/03/2021 04:14:56.391,11.0450533218962,-117.734617754279,11.0517542118904,-117.728545750723,0.999999999999999,5.25674991592806e-12,5.2740217168637e-11,0.00227317956091542,0,0,-999,-999,
