nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
54663,0.00387158281474892,29.845265420174,1,1,1,959,959,58,114,10.166233218314,20.1541114678856,10.1662330627441,20.1541118621826,15.1601724624634,NaN,NaN,NaN,10.166233218314,20.1541114678856,10.166233218314,10.166233218314,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,3.97109135254051e-07,4.03710408211566e-06,174.005018891178,0,0,-999,-999,
53704,0.000931306198870614,66.0781972577285,1,2,1,959,959,115,170,20.3324664366279,30.1419897174572,20.3324661254883,30.1419906616211,25.2372283935547,NaN,NaN,NaN,20.3324664366279,30.1419897174572,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,9.72300808232281e-08,9.71122209458409e-07,41.8567703396685,0,0,-999,-999,
53704,0.000332857900520533,67.1850504201643,1,3,1,959,959,171,226,30.3203446861995,40.1298679670288,30.3203449249268,40.1298675537109,35.2251062393188,NaN,NaN,NaN,30.3203446861995,40.1298679670288,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,3.47509772935139e-08,3.47088530261244e-07,14.9600171401498,0,0,-999,-999,
53704,0.000485686225512592,63.97880122513,1,4,1,959,959,227,282,40.3082229357711,50.1177462166004,40.3082237243652,50.1177444458008,45.212984085083,NaN,NaN,NaN,40.3082229357711,50.1177462166004,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,5.07065356362764e-08,5.06450704392693e-07,21.8287570973694,0,0,-999,-999,
53704,0.000191554203805087,126.223031998215,1,5,1,959,959,283,338,50.2961011853427,60.105624466172,50.2961006164551,60.1056251525879,55.2008628845215,NaN,NaN,NaN,50.2961011853427,60.105624466172,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.99986113488602e-08,1.99743695312917e-07,8.60924186480315,0,0,-999,-999,
53704,9.97110361748179e-05,219.637122985338,1,6,1,959,959,339,394,60.2839794349143,70.0935027157436,60.2839813232422,70.093505859375,65.1887435913086,NaN,NaN,NaN,60.2839794349143,70.0935027157436,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.04100156511385e-08,1.03973968899706e-07,4.48142828487665,0,0,-999,-999,
53704,3.77339468144929e-05,455.394952831538,1,7,1,959,959,395,450,70.2718576844859,80.0813809653152,70.271858215332,80.0813827514648,75.1766204833984,NaN,NaN,NaN,70.2718576844859,80.0813809653152,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,3.93949348023426e-09,3.93471812455609e-08,1.69592036189477,0,0,-999,-999,
53704,1.36419697080076e-08,13.6428607530474,1,8,1,959,959,451,506,80.2597359340575,90.0692592148868,80.2597351074219,90.0692596435547,85.1644973754883,NaN,NaN,NaN,80.2597359340575,90.0692592148868,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.4242467395859e-12,1.42252030323332e-11,0.000613126803774359,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,9,1,959,959,507,562,90.2476141836291,100.057137464458,90.2476119995117,100.057136535645,95.1523742675781,NaN,NaN,NaN,90.2476141836291,100.057137464458,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,10,1,959,959,563,618,100.235492433201,110.04501571403,100.235488891602,110.045013427734,105.140251159668,NaN,NaN,NaN,100.235492433201,110.04501571403,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,11,1,959,959,619,674,110.223370682772,120.032893963602,110.223373413086,120.032890319824,115.128131866455,NaN,NaN,NaN,110.223370682772,120.032893963602,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,12,1,959,959,675,730,120.211248932344,130.020772213173,120.211250305176,130.020767211914,125.116008758545,NaN,NaN,NaN,120.211248932344,130.020772213173,9.9878782495716,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,13,1,959,959,731,786,130.199127181916,140.008650462745,130.199127197266,140.008651733398,135.103889465332,NaN,NaN,NaN,130.199127181916,140.008650462745,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,14,1,959,959,787,842,140.187005431487,149.996528712316,140.18701171875,149.996536254883,145.091773986816,NaN,NaN,NaN,140.187005431487,149.996528712316,9.98787824957162,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,0.999999999999998,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
54663,1.22737896377721e-96,0,1,15,1,959,959,843,899,150.174883681059,160.16276193063,150.174880981445,160.16276550293,155.168823242188,NaN,NaN,NaN,150.174883681059,160.16276193063,10.166233218314,10.166233218314,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,0.999999999999998,1.25892541179231e-100,1.27985293407425e-99,5.51635106357755e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,16,1,959,959,900,955,160.341116899373,170.150640180202,160.341110229492,170.150634765625,165.245872497559,NaN,NaN,NaN,160.341116899373,170.150640180202,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,17,1,959,959,956,1011,170.328995148944,180.138518429774,170.328994750977,180.138519287109,175.233757019043,NaN,NaN,NaN,170.328995148944,180.138518429774,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,18,1,959,959,1012,1067,180.316873398516,190.126396679345,180.316879272461,190.126403808594,185.221641540527,NaN,NaN,NaN,180.316873398516,190.126396679345,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,19,1,959,959,1068,1123,190.304751648087,200.114274928917,190.304748535156,200.114273071289,195.209510803223,NaN,NaN,NaN,190.304751648087,200.114274928917,9.98787824957162,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,0.999999999999998,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,20,1,959,959,1124,1179,200.292629897659,210.102153178488,200.292633056641,210.102157592773,205.197395324707,NaN,NaN,NaN,200.292629897659,210.102153178488,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,21,1,959,959,1180,1235,210.280508147231,220.09003142806,210.280502319336,220.090026855469,215.185264587402,NaN,NaN,NaN,210.280508147231,220.09003142806,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,22,1,959,959,1236,1291,220.268386396802,230.077909677632,220.26838684082,230.077911376953,225.173149108887,NaN,NaN,NaN,220.268386396802,230.077909677632,9.98787824957159,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
53704,1.20584599950045e-96,0,1,23,1,959,959,1292,1347,230.256264646374,240.065787927203,230.256271362305,240.065780639648,235.161026000977,NaN,NaN,NaN,230.256264646374,240.065787927203,9.98787824957162,9.9878782495716,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,0.999999999999998,1.25892541179235e-100,1.25739937382737e-99,5.41957297474303e-92,0,0,-999,-999,
52745,1.1843130352237e-96,0,1,24,1,959,959,1348,1402,240.244142895945,249.875311208032,240.244140625,249.875305175781,245.059722900391,NaN,NaN,NaN,240.244142895945,249.875311208032,9.80952328082924,9.80952328082925,0,999.40440503621,20/10/2021 15:00:03.298,20/10/2021 15:42:41.004,10.9876402211339,-116.026282591227,10.9924730661559,-116.018638555226,1,1.25892541179239e-100,1.2349458135805e-99,5.32279488590851e-92,0,0,-999,-999,
65778,0.0116752706312864,34.0426752732724,2,1,960,2113,1154,58,114,10.166233218314,20.1541114678856,10.1662330627441,20.1541118621826,15.1601724624634,NaN,NaN,NaN,10.166233218314,20.1541114678856,10.166233218314,10.166233218314,1000.39295110835,1999.1477902143,20/10/2021 15:42:43.690,20/10/2021 16:34:15.007,10.9924781472762,-116.018631123807,10.9980951359051,-116.011652981536,1,9.95178715721394e-07,1.01172189179259e-05,436.066753081408,0,0,-999,-999,
64624,0.000101609681190143,73.5292302316874,2,2,960,2113,1154,115,170,20.3324664366279,30.1419897174572,20.3324661254883,30.1419906616211,25.2372283935547,NaN,NaN,NaN,20.3324664366279,30.1419897174572,9.9878782495716,9.9878782495716,1000.39295110835,1999.1477902143,20/10/2021 15:42:43.690,20/10/2021 16:34:15.007,10.9924781472762,-116.018631123807,10.9980951359051,-116.011652981536,1,8.81568452279383e-09,8.80499837002975e-08,3.79508151524028,0,0,-999,-999,
64624,0.000442582204162219,65.1880870980869,2,3,960,2113,1154,171,226,30.3203446861995,40.1298679670288,30.3203449249268,40.1298675537109,35.2251062393188,NaN,NaN,NaN,30.3203446861995,40.1298679670288,9.9878782495716,9.9878782495716,1000.39295110835,1999.1477902143,20/10/2021 15:42:43.690,20/10/2021 16:34:15.007,10.9924781472762,-116.018631123807,10.9980951359051,-116.011652981536,1,3.83985565311993e-08,3.83520107592911e-07,16.5302707607872,0,0,-999,-999,
