Date,time_start,time_end,site,deploy_code,D,Tow,Net, Sample #,alt_label,Label,Tow Type,Start Depth,End Depth,Depth Filtered,Volume_filtered_m3,Vol_filtered_doubled,Best Taxonomic ID,n,n_m2,Wet_Mass_g,g_m2,Preservative,Jar Size,Photo? Y / N,Photo (file_name),Photo Path,Comments,Broad Classification,Family_ID,SwimBladder_gas_assumed,Broad_Classification_2,Genera (or subfamily),Species,Broad Classification (excluding Cyclothone from fish)
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,33,DG5C_M10N_014_S14_2_33,DG5C_M10_S14_2_33,Night,1000.5,701.3,299.2,28969,57938,Amphipod,9,0.092954538,0.7,0.007229797,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Crustacea,Amphipoda,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,29,DG5C_M10N_014_S14_2_29,DG5C_M10_S14_2_29,Night,1000.5,701.3,299.2,28969,57938,Bathylagidae,14,0.144595947,12.45,0.12858711,ETOH,4,Y,,,Photo on Dr. Jesse's camera,Fish,Bathylagidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,34,DG5C_M10N_014_S14_2_34,DG5C_M10_S14_2_34,Night,1000.5,701.3,299.2,28969,57938,Bentheuphausia,8,0.082626256,0.45,0.004647727,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Crustacea,Euphausiacea,,Crustacea,Bentheuphausia,amblyops,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,25,DG5C_M10N_014_S14_2_25,DG5C_M10_S14_2_25,Night,1000.5,701.3,299.2,28969,57938,Bregmaceros,1,0.010328282,0.6,0.006196969,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Bregmacerotidae,Y,SB Fish,Bregmaceros,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,38,DG5C_M10N_014_S14_2_38,DG5C_M10_S14_2_38,Night,1000.5,701.3,299.2,28969,57938,Caridean,21,0.216893921,11.15,0.115160344,ETOH,4,Y,,,Photo on Dr. Jesse's camera,Crustacea,Caridea,,Crustacea,,,Crustacea
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,30,DG5C_M10N_014_S14_2_30,DG5C_M10_S14_2_30,Night,1000.5,701.3,299.2,28969,57938,Swallower,1,0.010328282,13.6,0.140464635,ETOH,8,Y,,,Photo on Dr. Jesse's camera,Fish,Chiasmodontidae,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,40,DG5C_M10N_014_S14_2_40,DG5C_M10_S14_2_40,Night,1000.5,701.3,299.2,28969,57938,Cyclothone,1295,13.37512513,200.8,2.073919017,ETOH,32,Y,,,Photo on Dr. Jesse's camera,Fish,Cyclothone,N,Fish,,,
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,26,DG5C_M10N_014_S14_2_26,DG5C_M10_S14_2_26,Night,1000.5,701.3,299.2,28969,57938,Angler fish,1,0.010328282,1.25,0.012910352,ETOH,SCINT,Y,,,Photo on Dr. Jesse's camera,Fish,Lophiiformes,N,Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,24,DG5C_M10N_014_S14_2_24,DG5C_M10_S14_2_24,Night,1000.5,701.3,299.2,28969,57938,Bigscales,43,0.444116124,60.8,0.627959543,ETOH,8,Y,,,Photo on Dr. Jesse's camera,Fish,Melamphaidae,Y,SB Fish,,,Fish
10/4/2021,19:15,1:28,PRZ-NE,_M10N,_014_,S14,2,39,DG5C_M10N_014_S14_2_39,DG5C_M10_S14_2_39,Night,1000.5,701.3,299.2,28969,57938,Miscellaneous,,0,,0,ETOH,16,Y,,,Photo on Dr. Jesse's camera,Other,Miscellaneous,,Other,,,Other
