Date,time_start,time_end,site,Tow,Net, Sample,Day_Night,Start_Depth,End_Depth,Depth_Filtered,Volume_Filtered_m3,Volume_Filtered.10000,n,"n.10,000_m2","n.10,000_m3",Wet_Mass_g,g.10000_m2,Wet_Mass_g.10000_m3,Comments,Micronekton,Broad_Classification,Broad_Classification_noCyclothone,Family_ID,SwimBladder_gas_assumed,Broad_Classification_2,Genus_ID_orSubfamily,Species_ID
4/15/2021,ROV Dive 20,,PRZ-NE,NA,NA,839,Day,,,0,,0,1,#DIV/0!,,1.6,#DIV/0!,,From ROV Dive #20; ROV Spec Number: C5b_ROV020SS1,Micronekton,Fish,Fish,Macrouridae,Y,SB Fish,Nezumia,parini
3/17/2021,8:41,16:08,PRZ-NE,S1,0,76,Day,0,1500,1500,53934,5.3934,,0,0,Not weighted,#VALUE!,Not weighted,,Plankton,Other,Other,All,,Other,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,14,Day,1500,1001,499,18015,1.8015,11,3046.905357,6.106022759,0.6,166.19,0.33,,Micronekton,Crustacea,Crustacea,Amphipoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,6,Day,1500,1001,499,18015,1.8015,29,8032.750486,16.09769636,36.3,10054.79,20.15, 5 individuals not on the photo,Micronekton,Crustacea,Crustacea,Caridea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,12,Day,1500,1001,499,18015,1.8015,90,24929.22565,49.95836803,2.6,720.18,1.44,,Plankton,Crustacea,Crustacea,Copepoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,8,Day,1500,1001,499,18015,1.8015,31,8586.733278,17.20788232,2.7,747.88,1.5,,Micronekton,Crustacea,Crustacea,Euphausiacea,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,9,Day,1500,1001,499,18015,1.8015,54,14957.53539,29.97502082,13.25,3670.14,7.35,,Micronekton,Crustacea,Crustacea,Mysidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,11,Day,1500,1001,499,18015,1.8015,7,1938.939772,3.885650847,16.25,4501.11,9.02, 6 individuals are Gigantocyprus,Plankton,Crustacea,Crustacea,Ostracod,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,10,Day,1500,1001,499,18015,1.8015,3,830.9741882,1.665278934,3.6,997.17,2,,Micronekton,Crustacea,Crustacea,Penaeidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,16,Day,1500,1001,499,18015,1.8015,1,276.9913961,0.555092978,0.05,13.85,0.03,,Plankton,Crustacea,Crustacea,Pteropoda,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,7,Day,1500,1001,499,18015,1.8015,2,553.9827921,1.110185956,1.45,401.64,0.8,,Micronekton,Crustacea,Crustacea,Sergestidae,,Crustacea,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,1,Day,1500,1001,499,18015,1.8015,1,276.9913961,0.555092978,82.1,22740.99,45.57,With Serrivomeridae (DG5B_M10_S1_1_4) in jar,Micronekton,Fish,Fish,Anoplogasteridae ,Y,SB Fish,Anoplogaster,cornuta
3/17/2021,8:41,16:08,PRZ-NE,S1,1,5,Day,1500,1001,499,18015,1.8015,16,4431.862337,8.881487649,4.3,1191.06,2.39,,Micronekton,Fish,,Gonostomatidae,N,Fish,Cyclothone,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,17,Day,1500,1001,499,18015,1.8015,4,1107.965584,2.220371912,0.2,55.4,0.11,,Micronekton,Fish,Fish,Juvenile fish,N,Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,3,Day,1500,1001,499,18015,1.8015,17,4708.853733,9.436580627,15.45,4279.52,8.58,,Micronekton,Fish,Fish,Melamphaeidae,Y,SB Fish,,
3/17/2021,8:41,16:08,PRZ-NE,S1,1,2,Day,1500,1001,499,18015,1.8015,1,276.9913961,0.555092978,2.5,692.48,1.39,,Micronekton,Fish,Fish,Myctophidae,Y,SB Fish,,
