label.name,label.count,highertaxon,htmlcolorcode,label.perc
Salpidae,9,Urochordata,#FF6565,1.1166253101736971
Vitreledonella richardi,1,Mollusca,#FF3D99,0.12406947890818859
Vinciguerria,42,Pisciformes,#71FFFF,5.2109181141439205
Sternoptychinae,25,Pisciformes,#67FFFF,3.101736972704715
Magnisudis atlantica,8,Pisciformes,#45FFFF,0.9925558312655087
Aegina citrea,1,Hydrozoa,#0B0BFF,0.12406947890818859
Melamphaidae,1,Pisciformes,#48FFFF,0.12406947890818859
Copepoda,74,Crustacea,#2F1A13,9.181141439205955
Solmissus,10,Hydrozoa,#4949FF,1.240694789081886
Myctophidae,3,Pisciformes,#4DFFFF,0.37220843672456577
Teleostei,6,Pisciformes,#6CFFFF,0.7444168734491315
Euphausiidae,24,Crustacea,#483c32,2.977667493796526
Hydrozoa,11,Hydrozoa,#3131FF,1.3647642679900744
Radiozoa,9,Rhizaria,#0FFF0F,1.1166253101736971
Metcalfina hexagona,2,Urochordata,#FF6C6C,0.24813895781637718
Sergestidae,12,Crustacea,#a35015,1.488833746898263
Oikopleuridae,125,Urochordata,#FF5959,15.508684863523573
Diphyidae,2,Siphonophorae,#cbcbcb,0.24813895781637718
Malacostraca,4,Crustacea,#836539,0.49627791563275436
Polychaeta,6,Annelida,#FF18FF,0.7444168734491315
Scopelarchidae,1,Pisciformes,#5EFFFF,0.12406947890818859
Bolitaena pygmaea,1,Mollusca,#FF1083,0.12406947890818859
Bolitaenidae,1,Mollusca,#FF489F,0.12406947890818859
Bathocyroe,12,Ctenophora,#FFFF0E,1.488833746898263
Abraliopsis (Boreabraliopsis) felis,2,Mollusca,#FF459D,0.24813895781637718
Physonectae,4,Siphonophorae,#717171,0.49627791563275436
Nemichthyidae,2,Pisciformes,#51FFFF,0.24813895781637718
Sternoptychidae,2,Pisciformes,#66FFFF,0.24813895781637718
Solmundella bitentaculata,5,Hydrozoa,#4E4EFF,0.620347394540943
Cuninidae,3,Hydrozoa,#6464FF,0.37220843672456577
Rhopalonematidae,25,Hydrozoa,#4343FF,3.101736972704715
Calycophorae,3,Siphonophorae,#565656,0.37220843672456577
Nanomia bijuga,1,Siphonophorae,#b0b0b0,0.12406947890818859
Leptothecata,32,Hydrozoa,#3333FF,3.970223325062035
Hyperiidea,1,Crustacea,#6F3515,0.12406947890818859
Thalassocalyce inconstans,5,Ctenophora,#FFFF56,0.620347394540943
Narcomedusae,3,Hydrozoa,#3737FF,0.37220843672456577
Eucarida,1,Crustacea,#AC6C3F,0.12406947890818859
Salpida,8,Urochordata,#FF6464,0.9925558312655087
Crustacea,22,Crustacea,#0D386F,2.729528535980149
Bathylagidae,1,Pisciformes,#13FFFF,0.12406947890818859
Decapoda,20,Crustacea,#a5682a,2.481389578163772
Ctenophora,4,Ctenophora,#FFFF0A,0.49627791563275436
Solmaris,7,Hydrozoa,#4747FF,0.8684863523573202
